round_number,game_mode,is_rated,map_slug,is_team_duels,real_lat,real_lng,real_country,round_start,round_end,my_lat,my_lng,my_guessed_country,my_dist_m,my_dist_km,my_score,my_ttg_s,my_hp_before,my_hp_after,my_hp_delta,opp_lat,opp_lng,opp_guessed_country,opp_dist_m,opp_dist_km,opp_score,opp_ttg_s,opp_hp_before,opp_hp_after,opp_hp_delta,round_result,guessed_correctly,opp_correct,real_country_name,my_guessed_country_name,opp_guessed_country_name,region,dist_delta_km
3,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,49.01240827960677,13.99783040641493,cz,2026-01-26 23:44:43.853000+00:00,2026-01-26 23:45:21.794000+00:00,49.5090297691325,17.34039981155623,cz,248746.4406574888,248.75,4372.0,39.38,3196.0,3196.0,0.0,47.34815827611909,8.557793309251565,ch,443632.3916293297,443.63,3936.0,22.94,6000.0,5564.0,-436.0,W,True,False,Czechia,Czechia,Switzerland,,-194.88
4,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,24.33555385532669,-110.3150337470815,mx,2026-01-26 23:45:35.430000+00:00,2026-01-26 23:46:47.462000+00:00,19.69498077765548,-90.0839508144707,mx,2146128.047076485,2146.13,1571.0,57.03,3196.0,3196.0,0.0,-31.68016334073716,22.582041103371164,za,15354988.265809257,15354.99,1.0,63.33,5564.0,3994.0,-1570.0,W,True,False,Mexico,Mexico,South Africa,North,-13208.86
5,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,-8.682401855812689,116.46169339816024,id,2026-01-26 23:46:51.007000+00:00,2026-01-26 23:47:23.969000+00:00,3.226265729369296,102.80928347443614,my,2011077.1137492608,2011.08,1689.0,34.4,3196.0,1410.0,-1786.0,-6.714003253546724,107.3997649678539,id,1022196.5975760694,1022.2,2880.0,17.96,3994.0,3994.0,0.0,L,False,True,Indonesia,Malaysia,Indonesia,Java & Nusa Tenggara,988.8799999999999
6,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,7.937297222388511,-81.39416147049029,pa,2026-01-26 23:47:37.703000+00:00,2026-01-26 23:48:08.143000+00:00,15.228788388040597,105.50311615962843,th,17329339.096718434,17329.34,0.0,31.87,1410.0,0.0,-1410.0,7.220308549088752,-76.35097875021408,co,561558.8658119272,561.56,3693.0,15.44,3994.0,3994.0,0.0,L,False,False,Panama,Thailand,Colombia,,16767.78
1,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,-32.8791505577605,-58.56144502674569,ar,2026-01-26 23:39:06.672000+00:00,2026-01-26 23:39:40.984000+00:00,46.51482234395883,22.9781313518881,ro,12007936.79060868,12007.94,8.0,35.76,6000.0,1271.0,-4729.0,-32.661349079750124,-59.60176193398711,ar,100236.7577043942,100.24,4737.0,19.31,6000.0,6000.0,0.0,L,False,True,Argentina,Romania,Argentina,Centro,11907.7
2,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,12.688883764933877,106.01775189920004,kh,2026-01-26 23:39:54.635000+00:00,2026-01-26 23:40:18.146000+00:00,12.272188083704275,105.07658625871402,kh,112194.1951641209,112.19,4706.0,22.37,1271.0,1271.0,0.0,12.927441250698465,100.02266185218608,th,650562.419034035,650.56,3520.0,8.51,6000.0,4814.0,-1186.0,W,True,False,Cambodia,Cambodia,Thailand,,-538.3699999999999
3,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,6.45869605520277,3.1257704255272607,ng,2026-01-26 23:40:29.266000+00:00,2026-01-26 23:40:59.097000+00:00,6.929073585989516,-1.4576343358177857,gh,508868.9206216085,508.87,3800.0,31.28,1271.0,1271.0,0.0,14.779381610582512,-17.027528118476265,sn,2386662.166834549,2386.66,1380.0,14.83,4814.0,2394.0,-2420.0,W,False,False,Nigeria,Ghana,Senegal,,-1877.79
4,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,56.28549819779993,10.736350634022877,dk,2026-01-26 23:41:12.755000+00:00,2026-01-26 23:41:41.664000+00:00,56.01008667631705,9.789492253592469,dk,66162.9833271315,66.16,4825.0,13.91,1271.0,1271.0,0.0,51.67479729801673,20.74876655666285,pl,830202.7583392167,830.2,3195.0,28.0,2394.0,764.0,-1630.0,W,True,False,Denmark,Denmark,Poland,,-764.0400000000001
5,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,56.82473360492015,12.882535747820269,se,2026-01-26 23:41:53.010000+00:00,2026-01-26 23:42:13.663000+00:00,60.5040138829506,9.683442480987257,no,448872.1924373694,448.87,3925.0,22.14,1271.0,193.0,-1078.0,58.00591420100165,13.523233031535533,se,136828.8393343961,136.83,4644.0,5.65,764.0,764.0,0.0,L,False,True,Sweden,Norway,Sweden,,312.03999999999996
6,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,45.39732201622943,19.5882825456415,rs,2026-01-26 23:42:27.462000+00:00,2026-01-26 23:42:48.194000+00:00,53.02682391905132,20.834243368459862,pl,853140.1234330987,853.14,3155.0,5.73,193.0,0.0,-193.0,42.43495549451543,25.373360049379507,bg,568296.2657609638,568.3,3680.0,7.42,764.0,764.0,0.0,L,False,False,Serbia,Poland,Bulgaria,,284.84000000000003
1,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,34.84428205889735,137.9003217218602,jp,2026-01-25 15:33:47.705000+00:00,2026-01-25 15:34:11.887000+00:00,36.54574235932352,139.6402963756376,jp,245923.6915423868,245.92,4379.0,9.18,6000.0,5615.0,-385.0,35.07555301790154,136.95613122358873,jp,89804.5018004872,89.8,4764.0,8.67,6000.0,6000.0,0.0,L,True,True,Japan,Japan,Japan,,156.12
2,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,62.23091643036175,32.464122779810666,ru,2026-01-25 15:34:09.153000+00:00,2026-01-25 15:34:37.956000+00:00,55.25216182606231,49.53343560751686,ru,1247394.4137605813,1247.39,2551.0,13.8,5615.0,5615.0,0.0,49.73317454743224,2.8181747739238494,fr,2275622.687586238,2275.62,1465.0,30.28,6000.0,4914.0,-1086.0,W,True,False,Russian Federation,Russian Federation,France,Leningrad MD,-1028.2299999999998
3,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,-17.614640407258097,-67.24997280451471,bo,2026-01-25 15:34:51.668000+00:00,2026-01-25 15:35:44.151000+00:00,-21.70825436870164,-54.44901812962571,br,1414918.9986635006,1414.92,2330.0,37.48,5615.0,5615.0,0.0,-31.85211908132336,-65.13092535810576,ar,1597413.893355569,1597.41,2112.0,37.12,4914.0,4696.0,-218.0,W,False,False,"Bolivia, Plurinational State of",Brazil,Argentina,,-182.49
4,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,27.49378977079992,90.83459151455196,bt,2026-01-25 15:35:41.406000+00:00,2026-01-25 15:36:06.834000+00:00,39.75265512947261,20.8968243466047,gr,6454985.790889807,6454.99,154.0,26.89,5615.0,5615.0,0.0,-19.85257480986717,-64.53980680908697,bo,17373024.772471998,17373.02,0.0,10.43,4696.0,4542.0,-154.0,W,False,False,Bhutan,Greece,"Bolivia, Plurinational State of",,-10918.03
