rounds_played,start_time,end_time,my_health,opp_health,my_avg_dist_m,opp_avg_dist_m,my_avg_dist_km,opp_avg_dist_km,game_mode,is_rated,is_team_duels,result
4,2025-11-16 18:41:38.965000+00:00,2025-11-16 18:45:01.704000+00:00,0.0,1586.0,1339203.69,712700.89,1339.2,712.7,StandardDuels,True,False,L
7,2025-11-16 19:09:01.737000+00:00,2025-11-16 19:14:19.689000+00:00,6000.0,0.0,1726174.81,6341349.19,1726.17,6341.35,StandardDuels,True,False,W
3,2025-11-16 21:45:35.727000+00:00,2025-11-16 21:48:07.630000+00:00,4025.0,0.0,753806.38,4630799.25,753.81,4630.8,StandardDuels,True,False,W
7,2025-11-16 21:48:21.821000+00:00,2025-11-16 21:53:48.315000+00:00,150.0,0.0,1879714.52,1057989.84,1879.71,1057.99,StandardDuels,True,False,W
4,2025-11-16 21:53:58.915000+00:00,2025-11-16 21:57:45.868000+00:00,0.0,6000.0,1572400.49,553148.0,1572.4,553.15,StandardDuels,True,False,L
4,2025-11-16 21:57:52.336000+00:00,2025-11-16 22:00:43.695000+00:00,5170.0,0.0,160865.76,2112593.2,160.86,2112.59,StandardDuels,True,False,W
3,2025-11-16 22:00:51.781000+00:00,2025-11-16 22:02:47.818000+00:00,6000.0,0.0,12639.64,4301963.2,12.64,4301.96,StandardDuels,True,False,W
6,2025-11-16 22:03:04.756000+00:00,2025-11-16 22:09:56.732000+00:00,0.0,4758.0,771497.62,336487.4,771.5,336.48,StandardDuels,True,False,L
5,2025-11-16 22:10:09.615000+00:00,2025-11-16 22:15:27.756000+00:00,5944.0,0.0,223543.78,1074972.11,223.55,1074.97,StandardDuels,True,False,W
8,2025-11-16 22:58:56.398000+00:00,2025-11-16 23:04:54.468000+00:00,0.0,2753.0,760531.64,470115.39,760.53,470.12,StandardDuels,True,False,L
3,2025-11-16 23:05:12.625000+00:00,2025-11-16 23:07:40.462000+00:00,6000.0,0.0,626467.76,4602189.92,626.47,4602.19,StandardDuels,True,False,W
6,2025-11-16 23:07:59.554000+00:00,2025-11-16 23:12:34.251000+00:00,0.0,1896.0,623191.75,423642.0,623.19,423.64,StandardDuels,True,False,L
3,2025-11-16 23:13:01.363000+00:00,2025-11-16 23:14:27.222000+00:00,6000.0,0.0,396513.33,1996320.21,396.51,1996.32,StandardDuels,True,False,W
5,2025-11-16 23:16:37.539000+00:00,2025-11-16 23:22:08.368000+00:00,0.0,4888.0,3014217.86,469244.17,3014.22,469.24,StandardDuels,True,False,L
2,2025-11-16 23:22:25.346000+00:00,2025-11-16 23:23:54.060000+00:00,6000.0,0.0,18530.89,8302155.79,18.53,8302.15,StandardDuels,True,False,W
7,2025-11-16 23:24:16.095000+00:00,2025-11-16 23:30:50.918000+00:00,0.0,1592.0,1523334.91,1086334.55,1523.33,1086.34,StandardDuels,True,False,L
5,2025-11-16 23:31:13.333000+00:00,2025-11-16 23:34:31.260000+00:00,6000.0,0.0,189196.24,1444886.37,189.2,1444.89,StandardDuels,True,False,W
6,2025-11-17 00:37:25.118000+00:00,2025-11-17 00:42:09.343000+00:00,0.0,5996.0,603224.74,160323.98,603.22,160.32,StandardDuels,True,False,L
3,2025-11-17 00:42:30.845000+00:00,2025-11-17 00:43:53.567000+00:00,6000.0,0.0,82252.98,4632272.55,82.25,4632.27,StandardDuels,True,False,W
9,2025-11-17 00:44:05.610000+00:00,2025-11-17 00:50:41.522000+00:00,5131.0,0.0,394822.34,528857.6,394.82,528.86,StandardDuels,True,False,W
8,2025-11-17 00:52:14.264000+00:00,2025-11-17 01:00:22.247000+00:00,2458.0,0.0,214393.58,487225.7,214.39,487.23,StandardDuels,True,False,W
4,2025-11-17 11:10:50.032000+00:00,2025-11-17 11:14:33.218000+00:00,6000.0,0.0,133005.89,2442004.99,133.01,2442.0,StandardDuels,True,False,W
5,2025-11-17 11:14:58.716000+00:00,2025-11-17 11:19:01.452000+00:00,1602.0,0.0,3237479.96,4680283.54,3237.48,4680.29,StandardDuels,True,False,W
7,2025-11-17 11:19:55.572000+00:00,2025-11-17 11:25:36.569000+00:00,4190.0,0.0,711435.86,934454.95,711.44,934.46,StandardDuels,True,False,W
6,2025-11-17 12:42:33.296000+00:00,2025-11-17 12:46:55.476000+00:00,5994.0,0.0,610409.6,2479011.85,610.41,2479.01,StandardDuels,True,False,W
4,2025-11-17 12:47:30.859000+00:00,2025-11-17 12:50:16.326000+00:00,6000.0,0.0,205264.33,1315994.09,205.26,1316.0,StandardDuels,True,False,W
7,2025-11-17 12:50:30.017000+00:00,2025-11-17 12:57:28.855000+00:00,0.0,4076.0,1276688.22,546769.65,1276.69,546.77,StandardDuels,True,False,L
7,2025-11-17 12:57:36.398000+00:00,2025-11-17 13:02:21.876000+00:00,5969.0,0.0,2212012.84,4110025.68,2212.01,4110.03,StandardDuels,True,False,W
5,2025-11-17 13:02:49.054000+00:00,2025-11-17 13:06:43.337000+00:00,4198.0,0.0,230761.01,1203850.8,230.76,1203.85,StandardDuels,True,False,W
3,2025-11-17 13:17:33.945000+00:00,2025-11-17 13:20:19.545000+00:00,5824.0,0.0,102180.49,3431649.16,102.18,3431.65,StandardDuels,True,False,W
5,2025-11-17 13:20:39.212000+00:00,2025-11-17 13:24:26.864000+00:00,0.0,4717.0,868838.03,465660.9,868.84,465.66,StandardDuels,True,False,L
2,2025-11-17 13:58:41.311000+00:00,2025-11-17 13:59:36.201000+00:00,6000.0,0.0,527037.56,5331310.21,527.04,5331.31,StandardDuels,True,False,W
9,2025-11-17 14:00:09.838000+00:00,2025-11-17 14:08:40.257000+00:00,2007.0,0.0,1218839.4,2426824.66,1218.84,2426.82,StandardDuels,True,False,W
3,2025-11-17 14:09:06.183000+00:00,2025-11-17 14:11:42.669000+00:00,5993.0,0.0,70112.7,1353126.35,70.11,1353.12,StandardDuels,True,False,W
6,2025-11-17 14:11:51.818000+00:00,2025-11-17 14:17:04.711000+00:00,705.0,0.0,1055270.66,963287.33,1055.27,963.29,StandardDuels,True,False,W
3,2025-11-17 14:17:26.247000+00:00,2025-11-17 14:20:10.325000+00:00,6000.0,0.0,157217.35,1158480.79,157.21,1158.48,StandardDuels,True,False,W
7,2025-11-17 14:20:40.104000+00:00,2025-11-17 14:24:51.916000+00:00,2736.0,0.0,554813.58,701253.79,554.81,701.25,StandardDuels,True,False,W
3,2025-11-17 14:26:39.176000+00:00,2025-11-17 14:28:36.905000+00:00,0.0,6000.0,9494129.33,341743.05,9494.13,341.74,StandardDuels,True,False,L
6,2025-11-17 14:38:40.543000+00:00,2025-11-17 14:43:03.433000+00:00,6000.0,0.0,721346.03,1350070.43,721.35,1350.07,StandardDuels,True,False,W
5,2025-11-17 14:49:18.052000+00:00,2025-11-17 14:53:05.890000+00:00,2069.0,0.0,1089499.18,2531455.78,1089.5,2531.46,StandardDuels,True,False,W
5,2025-11-17 17:27:52.022000+00:00,2025-11-17 17:33:09.939000+00:00,3311.0,0.0,3463077.87,1167038.31,3463.08,1167.04,StandardDuels,True,False,W
4,2025-11-17 17:33:38.311000+00:00,2025-11-17 17:35:38.522000+00:00,0.0,1002.0,2661849.41,1540367.85,2661.85,1540.37,StandardDuels,True,False,L
9,2025-11-17 17:35:55.483000+00:00,2025-11-17 17:41:43.259000+00:00,6000.0,0.0,897397.28,1069016.14,897.4,1069.02,StandardDuels,True,False,W
2,2025-11-17 17:42:17.425000+00:00,2025-11-17 17:43:27.805000+00:00,6000.0,0.0,49296.32,7053251.62,49.29,7053.25,StandardDuels,True,False,W
15,2025-11-17 18:37:04.414000+00:00,2025-11-17 18:47:24.961000+00:00,0.0,4953.0,292581.12,166699.87,292.58,166.7,StandardDuels,True,False,L
2,2025-11-17 18:59:30.315000+00:00,2025-11-17 19:00:51.208000+00:00,6000.0,0.0,46024.12,3487906.16,46.02,3487.9,StandardDuels,True,False,W
6,2025-11-17 20:02:14.186000+00:00,2025-11-17 20:07:42.464000+00:00,0.0,1496.0,968668.28,739663.96,968.67,739.66,StandardDuels,True,False,L
5,2025-11-17 20:08:13.019000+00:00,2025-11-17 20:11:21.923000+00:00,5487.0,0.0,33031.87,1931740.39,33.03,1931.74,StandardDuels,True,False,W
5,2025-11-17 21:57:25.415000+00:00,2025-11-17 22:01:20.780000+00:00,4913.0,0.0,178531.67,822471.26,178.53,822.47,StandardDuels,True,False,W
8,2025-11-18 11:42:37.763000+00:00,2025-11-18 11:52:13.990000+00:00,0.0,4822.0,1525032.92,189588.07,1525.03,189.59,StandardDuels,True,False,L
3,2025-11-18 11:53:00.741000+00:00,2025-11-18 11:55:35.981000+00:00,6000.0,0.0,45025.77,1709429.29,45.03,1709.43,StandardDuels,True,False,W
5,2025-11-18 11:56:27.360000+00:00,2025-11-18 12:02:45.639000+00:00,0.0,4585.0,1766529.74,620841.2,1766.53,620.84,StandardDuels,True,False,L
5,2025-11-18 12:03:05.748000+00:00,2025-11-18 12:06:54.481000+00:00,6000.0,0.0,422865.71,2780073.75,422.87,2780.07,StandardDuels,True,False,W
4,2025-11-18 12:18:59.508000+00:00,2025-11-18 12:22:01.764000+00:00,0.0,6000.0,4694608.71,790232.49,4694.61,790.23,StandardDuels,True,False,L
